DateTime,Date,Time,Power_MW
04-01-2022 00:00,4-1-2022,00:00,90.93
04-01-2022 00:15,4-1-2022,00:15,94.97
04-01-2022 00:30,4-1-2022,00:30,108.82
04-01-2022 00:45,4-1-2022,00:45,112.58
04-01-2022 01:00,4-1-2022,01:00,105.05
04-01-2022 01:15,4-1-2022,01:15,89.63
04-01-2022 01:30,4-1-2022,01:30,102.32
04-01-2022 01:45,4-1-2022,01:45,98.88
04-01-2022 02:00,4-1-2022,02:00,101.28
04-01-2022 02:15,4-1-2022,02:15,115.63
04-01-2022 02:30,4-1-2022,02:30,92.33
04-01-2022 02:45,4-1-2022,02:45,103.78
04-01-2022 03:00,4-1-2022,03:00,111.68
04-01-2022 03:15,4-1-2022,03:15,113.05
04-01-2022 03:30,4-1-2022,03:30,102.08
04-01-2022 03:45,4-1-2022,03:45,102.5
04-01-2022 04:00,4-1-2022,04:00,102.18
04-01-2022 04:15,4-1-2022,04:15,99.61
04-01-2022 04:30,4-1-2022,04:30,96.87
04-01-2022 04:45,4-1-2022,04:45,98.64
04-01-2022 05:00,4-1-2022,05:00,103.16
04-01-2022 05:15,4-1-2022,05:15,93.56
04-01-2022 05:30,4-1-2022,05:30,95.92
04-01-2022 05:45,4-1-2022,05:45,100.02
04-01-2022 06:00,4-1-2022,06:00,104.39
04-01-2022 06:15,4-1-2022,06:15,89.52
04-01-2022 06:30,4-1-2022,06:30,102.96
04-01-2022 06:45,4-1-2022,06:45,108.23
04-01-2022 07:00,4-1-2022,07:00,103.03
04-01-2022 07:15,4-1-2022,07:15,98.87
04-01-2022 07:30,4-1-2022,07:30,105.4
04-01-2022 07:45,4-1-2022,07:45,105.3
04-01-2022 08:00,4-1-2022,08:00,99.13
04-01-2022 08:15,4-1-2022,08:15,109.29
04-01-2022 08:30,4-1-2022,08:30,117.47
04-01-2022 08:45,4-1-2022,08:45,102.95
04-01-2022 09:00,4-1-2022,09:00,98.1
04-01-2022 09:15,4-1-2022,09:15,108.4
04-01-2022 09:30,4-1-2022,09:30,95.57
04-01-2022 09:45,4-1-2022,09:45,100.64
04-01-2022 10:00,4-1-2022,10:00,100.29
04-01-2022 10:15,4-1-2022,10:15,90.26
04-01-2022 10:30,4-1-2022,10:30,97.73
04-01-2022 10:45,4-1-2022,10:45,106.29
04-01-2022 11:00,4-1-2022,11:00,99.77
04-01-2022 11:15,4-1-2022,11:15,94.28
04-01-2022 11:30,4-1-2022,11:30,88.98
04-01-2022 11:45,4-1-2022,11:45,94.45
04-01-2022 12:00,4-1-2022,12:00,101.13
04-01-2022 12:15,4-1-2022,12:15,95.06
04-01-2022 12:30,4-1-2022,12:30,88.94
04-01-2022 12:45,4-1-2022,12:45,89.7
04-01-2022 13:00,4-1-2022,13:00,73.55
04-01-2022 13:15,4-1-2022,13:15,80.57
04-01-2022 13:30,4-1-2022,13:30,73.78
04-01-2022 13:45,4-1-2022,13:45,65.11
04-01-2022 14:00,4-1-2022,14:00,73.64
04-01-2022 14:15,4-1-2022,14:15,79.38
04-01-2022 14:30,4-1-2022,14:30,67.47
04-01-2022 14:45,4-1-2022,14:45,74.91
04-01-2022 15:00,4-1-2022,15:00,88.9
04-01-2022 15:15,4-1-2022,15:15,93.18
04-01-2022 15:30,4-1-2022,15:30,98.21
04-01-2022 15:45,4-1-2022,15:45,90.77
04-01-2022 16:00,4-1-2022,16:00,83.93
04-01-2022 16:15,4-1-2022,16:15,98.62
04-01-2022 16:30,4-1-2022,16:30,102.9
04-01-2022 16:45,4-1-2022,16:45,103.26
04-01-2022 17:00,4-1-2022,17:00,95.83
04-01-2022 17:15,4-1-2022,17:15,85.33
04-01-2022 17:30,4-1-2022,17:30,99.7
04-01-2022 17:45,4-1-2022,17:45,102.19
04-01-2022 18:00,4-1-2022,18:00,105.48
04-01-2022 18:15,4-1-2022,18:15,103.86
04-01-2022 18:30,4-1-2022,18:30,107.94
04-01-2022 18:45,4-1-2022,18:45,105.62
04-01-2022 19:00,4-1-2022,19:00,109.86
04-01-2022 19:15,4-1-2022,19:15,104.46
04-01-2022 19:30,4-1-2022,19:30,105.5
04-01-2022 19:45,4-1-2022,19:45,115.62
04-01-2022 20:00,4-1-2022,20:00,107.99
04-01-2022 20:15,4-1-2022,20:15,104.11
04-01-2022 20:30,4-1-2022,20:30,119.58
